ruleId,title,shortDescription,grade,type,gradePoints
websiteExistence,Existencia de sitio Web,"La entidade deberá mantener um sítio web, que deberá estar disponible para acesso via una URI oficial por cualquier user-agent.",AAA,obligation,100
freeAccess,Régimen de Acceso - Gratuidad,"El sítio debe tener aceso gratuidad a los servicios judiciales informáticos que presta la Corte, exceto para casos previstos en ley e reglamentos.",AAA,obligation,100
universalityDirectAccess,Universalidad: Acceso Directo,Los servicios informáticos que presta la Corte deben ser abiertos a todo el público que desee acceder a ellos y no deben estar restringidos a ciertos usuarios previo registro y recepción de una clave de acceso.,AAA,recommendation,100
universalidadPatronesDeAcessibilidadeYWebStandards,Universalidad: Patrones de Acesibilidad y Web Standards,"Los sitios deben permitir acesso tecnologias asistivas como lectores de tela, asistentes por voz, etc;aceso sin uso de javascript, dispositivos variados y en condiciones variadas de conexiones.",,recommendation,0
universalityPerformance,Universalidad: Performance,"Los sitios deben permitir acesso con velocidade rasonable y estable mismo em malas condiciones de aceso, como conexión por dispositivos móbiles en reds de baja performance.",,recommendation,0
seguridadConexionEncriptada,Seguridad: Conexión Encriptada,El sítio és acessible en conexión encriptada (SSL/TLS).,,recommendation,0
dadosAbiertosAcesoViaApiRest,Dados Abiertos: Acceso vía API REST,"Los contenidos del sitio son acesibles por una API REST con datos estructurados, incluso meta-dados.",,recommendation,0
estructuraOrganica,Estructura orgánica,Descripción de la forma en que se compone y se organiza la entidade y no tan sólo la cabeza o principal órgano que se trate.,A,obligation,20
funcionesYDeberes,Funciones y deberes,Descripción de funciones y deberes de la entidad en general y no tan sólo la cabeza o principal órgano que lo compone.,A,obligation,20
ubicacionDeSusSedesYAreas,Ubicación de sus sedes y áreas,Descripción de ubicación de sedes y áreas de la entidad en general y no tan sólo la cabeza o principal órgano que lo compone.,A,obligation,20
divisionesODepartamentos,Divisiones o departamentos,Informaciones sobre la totalidad de divisiones territoriales.,AA,obligation,50
horarioDeAtencionAlPublico,Horario de Atención al Público,"Informaciones sobre horarios de atención al público de la entidad y sus divisiones en diferentes medios: en la sede, teléfono, correo electrónico, etc.",AA,obligation,50
presupuesto,Presupuesto,"El presupuesto de la entidad para la respectiva vigencia debe estar disponible para verificación del público. Puede ser el presupuesto inicial o final. Eo presupuesto debe ofrecer datos (valores, ingresos, gastos) de forma clara, organizada y desagregado.",A,obligation,20
ejecucionHistoricaAnual,Ejecución Histórica Anual,"Información relativa al presupuesto ejecutado en el año en curso, idealmente con porcentajes de ejecución, y deben ofrecer datos de forma clara, organizada y encontrarse desagregados.",,obligation,0
planesDeGastoPublicoPorAnoFiscal,Planes de gasto público por año fiscal,Afazer,A,obligation,20
directorioDeFuncionariosBasico,Directorio de funcionarios - Básico,El sitio web contiene un directorio de funcionarios con sus informaciones básicas: Nombres y apellidos; correo electrónico; Teléfono del despacho y dependencia.,,obligation,0
directorioDeFuncionariosCompleto,Directorio de funcionarios - Completo,El sitio web contiene un directorio de funcionarios con informaciones completas: Nombres y apellidos; correo electrónico; Teléfono del despacho y dependencia; Formación académica; Experiencia laboral y profesional; Sanciones aplicadas.,,obligation,0
escalasSalariales,Escalas salariales,"Es posible encontrar una tabla con los rangos de salarios de la entidad, identificado por el título ""Rangos de salario por nivel"", y el decreto de asignaciones salariales de la entidad en un lugar visible.",A,obligation,20
sancionesAplicadasAServidoresPublicos,Sanciones aplicadas a servidores públicos,Es posible encontrar informaciones sobre sanciones disciplinarias o de otro tipo que hayan sido impuestas  a funcionarios de la entidad.,,obligation,0
directorioConInformacionesDeContratosConContratistasBasico,Directorio con Informaciones de Contratos de Contratistas - Básico,Es posible encontrar informaciones sobre los contratos de contratistas en formatos abiertos: Nombres y apellidos; correo electrónico; Teléfono del despacho y dependencia; Objeto del contrato.,,obligation,0
directorioConInformacionesDeContratosConContratistasCompleto,Directorio con Informaciones de Contratos de Contratistas - Completo,El sitio web contiene contiene un directorio de funcionarios de informaciones completas: Nombres y apellidos; correo electrónico; Teléfono del despacho y dependencia; Formación académica; Experiencia laboral y profesional; Sanciones aplicadas;Objeto del contrato.,,obligation,0
normasGenerales,Normas generales,"Existencia de una sección con normas y reglamentos pertinentes para la entidad: decretos, circulares, leyes, etc. relativas a creacción e reglamentos de la entidad.",A,obligation,20
normasReglamentarias,Normas Reglamentarias,Existencia de información sobrenormas reglamentarias pertinentes a la entidad: resoluciones y directivas.,A,obligation,20
manuales,Manuales,AFAZER,,obligation,0
metasYObjectivos,Metas y Objetivos,AFAZER,,obligation,0
resultadoDeAuditorias,Resultado de Auditorías,AFAZER,,obligation,0
indicadoresDeDesempeno,Indicadores de Desempeño,Las entidades deben proveer información sobre los indicadores de desempeño que utilizan y reportes con estadísticas y análisis del desempeño de la entidad (en relación a _________) y de sus funcionarios.,,obligation,0
planAnticorrupcionYDeAtencionAlCiudadano,Plan Anticorrupción y de Atención al Ciudadano,AFAZER,,obligation,0
planDeComprasYAdquisicion,Plan anual de compras y adquisiciones,"La entidad debe ofrecer informaciones de su Plan de Compras Anual. El documento MOTA - Reglas Contextuales especifica normas necesarias por entidad, o clases de entidad.",,obligation,0
atencionAlCiudadano,Atención al ciudadano,"El sitio de la entidad debe contener una o más páginas con información de los servicios que brinda directamente al público, incluyendo i) normas ii) formularios y formatos y, iii) protocolos de atención a diferentes públicos.",,obligation,0
tramites,Trámites,"El sitio de la entidad debe contener una o más páginas con informaciones de los trámites que se pueden agotar en la entidad, incluyendo i) normativa(s) relacionada(s) ii) proceso a seguir, incluso formularios y formatos y, iii) costos asociados.",A,obligation,20
procedimientos,Procedimientos,El sitio de la entidad debe contener una o más páginas con informaciones sobre los procedimientos que se siguen para tomar decisiones en diferentes áreas y procesos.,A,obligation,20
decisiones,Decisiones,"El sitio de la entidad debe contener una o más páginas con los contenidos de las decisiones adoptadas que afecten al público, junto con sus fundamentos e interpretaciones.",A,obligation,20
politicas,Políticas,"El sitio de la entidad debe contener una o más páginas con los contenidos de las políticas adoptadas que afecten al público, junto con sus fundamentos e interpretaciones.",,obligation,0
participacionCiudadanaMecanismosDePresentacionDirecta,Participación Ciudadana - Mecanismos de Presentación Directa,"El sitio de la entidad debe ofrecer mecanismos de presentación directa de solicitudes, quejas y reclamos a disposición del público.",,obligation,0
reporteDeParticipacionCiudadana,Reporte de Participación Ciudadana,"El sitio de la entidad debe contener una o más páginas con reportes generales y agregados de datos de quejas y reclamos de la entidad, correspondientes a la respectiva vigencia y a años anteriores.",,obligation,0
mecanismosDeParticipacionCiudadanaEmFormulacionDePoliticas,Mecanismos de Participación Ciudadana en Formulación de Políticas,"Descrición de los mecanismos de participación ciudadana para la formulación de políticas o ejercicios de facultades del sujeto obligado, incluyendo publicidad de invitaciones públicas, convocatorias o procesos de participación pública.",,obligation,0
informesDeGestion,Informes de Gestión,"Informes de Gestión del periodo vigente y de períodos anteriores. Los informes resumen los resultados de la entidad por un período determinado, así como la administración hecha a sus recursos, contratación, entre otros.",A,obligation,20
informesDeEvaluacion,Informes de Evaluación,"El sitio de la entidad debe contener Informes de Evaluación del periodo vigente y de los períodos anteriores. contratación, entre otros.",,obligation,0
informesDeAuditoria,Informes de Auditoría,AFAZER,,obligation,0
mecanismosInternosDeSupervisionOficinaDeControlInterno,Mecanismos Internos de Supervisión - Oficina de Control Interno,"Informaciones acerca de la Oficina de Control Interno, de manera que los funcionarios o la ciudadanía tengan claro que hay una dependencia a la que se puede acudir para presentar denuncias u observaciones acerca del funcionamiento de la entidad.",A,obligation,20
mecanismosExternosDeSupervision,Mecanismos Externos de Supervisión,AFAZER,A,obligation,20
mecanismosNotificacion,Mecanismos Notificación,Descripción de la forma en que se compone y se organiza la entidade y no tan sólo la cabeza o principal órgano que se trate.,,obligation,0
mecanismosDeVigilancia,Mecanismos de Vigilancia,AFAZER,,obligation,0
procedimientosYLineamientosDeContratacion,Procedimientos y Lineamientos de Contratación,AFAZER,A,obligation,20
politicasEnMateriaDeAdquisicionesYCompras,Políticas en materia de adquisiciones y compras,"AFAZER: aclarar. La entidad debe ofrecer informaciones de su Plan de adquisiciones. El documento MOTA - Reglas Contextuales especifica normas necesarias por entidad, o clases de entidad.",A,obligation,20
esquemasDePublicacionDeInformacion,Esquemas de Publicación de información,"El sitio de la entidad debe contener una o más páginas con informaciones de Esquemas de Publicación de información, publicadas en una página denominada ""Acceso a información pública"".",,obligation,0
programaDeGestionDocumental,Programa de Gestión Documental,"Informaciones de Programa de Gestión Documental, publicadas en una página Gestión Documental e informar procedimientos y lineamientos para la producción, distribución, organización, consulta y conservación de los documentos públicos.",,obligation,0
tablasDeRetencionDocumental,Tablas De Retención Documental,AFAZER,A,obligation,20
informacionPublicadaAntesDeLaLey1712De2014,Información Publicada Antes De La Ley 1712 De 2014,AFAZER,,obligation,0
respuestasASolicitudesDeInformacionRecibidas,Respuestas A Solicitudes De Información Recibidas,AFAZER,,obligation,0